# x,y,z,yaw_rad,gimbal_pitch_deg,marker_budget
-105.974548,99.843254,35.375645,0.000000,-90.00,1
-105.974548,109.843254,31.375645,-1.570796,-35.00,1
-95.974548,99.843254,31.375645,3.141593,-35.00,1
-105.974548,89.843254,31.375645,1.570796,-35.00,1
-115.974548,99.843254,31.375645,0.000000,-35.00,1
-109.803936,99.611042,24.000000,-0.037699,-60.00,0
-103.633324,99.378830,32.037605,0.000000,-90.00,1
-103.633324,109.378830,28.037605,-1.570796,-35.00,1
-93.633324,99.378830,28.037605,3.141593,-35.00,1
-103.633324,89.378830,28.037605,1.570796,-35.00,1
-113.633324,99.378830,28.037605,0.000000,-35.00,1
-107.225384,99.614014,24.000000,0.036652,-60.00,0
-100.817444,99.849197,24.464633,0.000000,-90.00,1
-100.817444,109.849197,24.000000,-1.570796,-60.00,0
-100.817444,109.849197,20.464633,-1.570796,-35.00,1
-90.817444,99.849197,24.000000,3.141593,-60.00,0
-90.817444,99.849197,20.464633,3.141593,-35.00,1
-100.817444,89.849197,24.000000,1.570796,-60.00,0
-100.817444,89.849197,20.464633,1.570796,-35.00,1
-110.817444,99.849197,24.000000,0.000000,-60.00,0
-110.817444,99.849197,20.464633,0.000000,-35.00,1
-106.039553,89.406850,24.000000,-1.141620,-60.00,0
-101.261663,78.964503,24.000000,-1.141620,-60.00,0
-96.483772,68.522156,24.000000,0.000000,-60.00,0
-96.483772,68.522156,18.000000,0.000000,-90.00,1
-96.483772,78.522156,24.000000,-1.570796,-60.00,0
-96.483772,78.522156,14.000000,-1.570796,-35.00,1
-86.483772,68.522156,24.000000,3.141593,-60.00,0
-86.483772,68.522156,14.000000,3.141593,-35.00,1
-96.483772,58.522156,24.000000,1.570796,-60.00,0
-96.483772,58.522156,14.000000,1.570796,-35.00,1
-106.483772,68.522156,24.000000,0.000000,-60.00,0
-106.483772,68.522156,14.000000,0.000000,-35.00,1
-103.954201,77.477516,24.000000,1.295558,-60.00,0
-101.424629,86.432877,24.000000,1.295558,-60.00,0
-98.895058,95.388237,24.000000,1.295558,-60.00,0
