x,y,z,yaw_deg,gimbal_pitch_deg,hold_sec,tag
-96.483772,68.522156,18.000000,-179.96,-90.00,4.00,aruco_marker_7_roof
-86.483772,68.522156,8.000000,180.00,-35.00,4.00,aruco_marker_7_wall_E
-106.483772,68.522156,8.000000,0.00,-35.00,4.00,aruco_marker_7_wall_W
-96.483772,78.522156,8.000000,-90.00,-35.00,4.00,aruco_marker_7_wall_N
-96.483772,58.522156,8.000000,90.00,-35.00,4.00,aruco_marker_7_wall_S
-72.559776,74.044273,35.371681,45.07,-90.00,4.00,aruco_marker_4_roof
-62.559776,74.044273,25.371681,180.00,-35.00,4.00,aruco_marker_4_wall_E
-82.559776,74.044273,25.371681,0.00,-35.00,4.00,aruco_marker_4_wall_W
-72.559776,84.044273,25.371681,-90.00,-35.00,4.00,aruco_marker_4_wall_N
-72.559776,64.044273,25.371681,90.00,-35.00,4.00,aruco_marker_4_wall_S
-62.390190,80.281578,19.996474,-145.76,-90.00,4.00,aruco_marker_9_roof
-52.390190,80.281578,9.996474,180.00,-35.00,4.00,aruco_marker_9_wall_E
-72.390190,80.281578,9.996474,0.00,-35.00,4.00,aruco_marker_9_wall_W
-62.390190,90.281578,9.996474,-90.00,-35.00,4.00,aruco_marker_9_wall_N
-62.390190,70.281578,9.996474,90.00,-35.00,4.00,aruco_marker_9_wall_S
-79.368958,109.865738,18.000000,-179.96,-90.00,4.00,aruco_marker_2_roof
-69.368958,109.865738,8.000000,180.00,-35.00,4.00,aruco_marker_2_wall_E
-89.368958,109.865738,8.000000,0.00,-35.00,4.00,aruco_marker_2_wall_W
-79.368958,119.865738,8.000000,-90.00,-35.00,4.00,aruco_marker_2_wall_N
-79.368958,99.865738,8.000000,90.00,-35.00,4.00,aruco_marker_2_wall_S
-96.365486,104.343597,20.404522,-146.45,-90.00,4.00,aruco_marker_5_roof
-86.365486,104.343597,10.404522,180.00,-35.00,4.00,aruco_marker_5_wall_E
-106.365486,104.343597,10.404522,0.00,-35.00,4.00,aruco_marker_5_wall_W
-96.365486,114.343597,10.404522,-90.00,-35.00,4.00,aruco_marker_5_wall_N
-96.365486,94.343597,10.404522,90.00,-35.00,4.00,aruco_marker_5_wall_S
-105.974548,99.843254,35.375645,44.37,-90.00,4.00,aruco_marker_8_roof
-95.974548,99.843254,25.375645,180.00,-35.00,4.00,aruco_marker_8_wall_E
-115.974548,99.843254,25.375645,0.00,-35.00,4.00,aruco_marker_8_wall_W
-105.974548,109.843254,25.375645,-90.00,-35.00,4.00,aruco_marker_8_wall_N
-105.974548,89.843254,25.375645,90.00,-35.00,4.00,aruco_marker_8_wall_S
-103.633324,99.378830,32.037605,178.31,-90.00,4.00,aruco_marker_1_roof
-93.633324,99.378830,22.037605,180.00,-35.00,4.00,aruco_marker_1_wall_E
-113.633324,99.378830,22.037605,0.00,-35.00,4.00,aruco_marker_1_wall_W
-103.633324,109.378830,22.037605,-90.00,-35.00,4.00,aruco_marker_1_wall_N
-103.633324,89.378830,22.037605,90.00,-35.00,4.00,aruco_marker_1_wall_S
-100.817444,99.849197,24.464633,175.59,-90.00,4.00,aruco_marker_0_roof
-90.817444,99.849197,14.464633,180.00,-35.00,4.00,aruco_marker_0_wall_E
-110.817444,99.849197,14.464633,0.00,-35.00,4.00,aruco_marker_0_wall_W
-100.817444,109.849197,14.464633,-90.00,-35.00,4.00,aruco_marker_0_wall_N
-100.817444,89.849197,14.464633,90.00,-35.00,4.00,aruco_marker_0_wall_S
-71.102974,74.365616,32.186022,173.28,-90.00,4.00,aruco_marker_3_roof
-61.102974,74.365616,22.186022,180.00,-35.00,4.00,aruco_marker_3_wall_E
-81.102974,74.365616,22.186022,0.00,-35.00,4.00,aruco_marker_3_wall_W
-71.102974,84.365616,22.186022,-90.00,-35.00,4.00,aruco_marker_3_wall_N
-71.102974,64.365616,22.186022,90.00,-35.00,4.00,aruco_marker_3_wall_S
-70.800156,74.293671,28.268738,177.99,-90.00,4.00,aruco_marker_6_roof
-60.800156,74.293671,18.268738,180.00,-35.00,4.00,aruco_marker_6_wall_E
-80.800156,74.293671,18.268738,0.00,-35.00,4.00,aruco_marker_6_wall_W
-70.800156,84.293671,18.268738,-90.00,-35.00,4.00,aruco_marker_6_wall_N
-70.800156,64.293671,18.268738,90.00,-35.00,4.00,aruco_marker_6_wall_S
