x,y,target_speed
-129.23,69.36,1.1
-120.85,73.20,1.1
-117.45,73.15,1.1
-113.63,72.64,1.1
-104.97,77.01,1.1
-91.79826864564136,86.60130830786362,1.1
-90.89157420844019,87.52730344096803,1.1
-89.98778443108651,88.45616297736306,1.1
-89.23462628313393,89.23021259087176,1.1
-88.33083650552311,90.15907212701609,1.1
-87.35173091381272,91.16533662440428,1.1
-86.44974653623574,92.09315873152862,1.1
-85.70147555212472,92.87161810587305,1.1
-84.80393129736574,93.8058060860876,1.1
-83.87610688241972,94.70853109946182,1.1
-83.07804766044815,95.43619789207237,1.1
-82.12101466864584,96.31027506112946,1.1
-81.0845250279901,97.25747026137583,1.1
-80.1265950271756,98.12972052285281,1.1
-79.27024303249179,98.78382916439111,1.1
-78.14095432862212,99.41394227296469,1.1
-76.98861697252367,99.71496215910176,1.1
-75.94106169711091,99.7943518293961,1.1
-74.71308919274297,99.32706528297024,1.1
-73.79019037925232,98.8108480917383,1.1
-72.8118115016151,98.56185977794706,1.1
-71.41072154443641,98.64096552683569,1.1
-70.11820993052127,98.73695746092679,1.1
-68.83536562924722,98.83223875849792,1.1
-57.949,101.780,1.1
