name,x,y,z,roll,pitch,yaw,source_file
aruco_marker_7,-96.48377227783203,68.52215576171875,3.853156328201294,2.709353797001853,1.5707900273389155,-3.140886189826212,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
aruco_marker_4,-72.55977630615234,74.04427337646484,23.371681213378906,0.34953919022361835,1.442090029017562,0.7867001885903437,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
aruco_marker_9,-62.39019012451172,80.28157806396484,7.996473789215088,-2.984069985566836,1.2723399928116839,-2.5439699729045504,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
aruco_marker_2,-79.36895751953125,109.86573791503906,4.108442306518555,2.709353797001853,1.5707900273389155,-3.140886189826212,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
aruco_marker_5,-96.36548614501953,104.34359741210938,8.404521942138672,-2.9952599895811516,1.2871600463809942,-2.5560700024072496,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
aruco_marker_8,-105.97454833984375,99.84325408935547,23.37564468383789,0.3378409862404616,1.4445500015518304,0.7744779858460523,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
aruco_marker_1,-103.6333236694336,99.37882995605469,20.03760528564453,1.4788500378994207,0.24640299389833475,3.112109996329558,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
aruco_marker_0,-100.81744384765625,99.84919738769531,12.464632987976074,1.4610000032133637,0.6129619971250092,3.0646400027814855,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
aruco_marker_3,-71.10297393798828,74.36561584472656,20.18602180480957,1.5346099484236408,0.1174869930370713,3.024340001167738,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
aruco_marker_6,-70.80015563964844,74.29367065429688,16.26873779296875,1.4769700259713585,0.32164600944967187,3.10656000540511,/home/subin/PX4-Autopilot_ASP/Tools/simulation/gz/worlds/default.sdf
